#;Tijdstip;Gebruiker;Bestandsnaam;Omvang (MB);Aantal records;Classificatie;Bestemming;Locatie (scenario);Status
18;1-10-2026 09:56;jan@dowr.nl;Sjabloon_inkoopaanvraag.docx;23,1;0;Intern;185.199.108.153;Moskou, RU;Gekopieerd
19;1-10-2026 09:59;jan@dowr.nl;Overzicht_openstaande_tickets.csv;15;126;Intern;185.199.108.153;Moskou, RU;Gekopieerd
20;1-10-2026 10:02;jan@dowr.nl;Technisch_ontwerp_koppeling_v2.pdf;21,3;0;Intern;185.199.108.153;Moskou, RU;Gekopieerd
21;1-10-2026 10:05;jan@dowr.nl;Begrotingsnotitie_concept.docx;16,9;0;Intern;185.199.108.153;Moskou, RU;Gekopieerd
22;1-10-2026 10:08;jan@dowr.nl;Werkvoorraad_team_vergunningen.xlsx;22,3;240;Openbaar;185.199.108.153;Moskou, RU;Gekopieerd
23;1-10-2026 10:11;jan@dowr.nl;brp inwoners.csv;86,4;18542;Vertrouwelijk;185.199.108.153;Moskou, RU;Gekopieerd
24;1-10-2026 10:14;jan@dowr.nl;Presentatie_nieuwe_werkomgeving.pptx;10,6;0;Openbaar;185.199.108.153;Moskou, RU;Gekopieerd
25;1-10-2026 10:17;jan@dowr.nl;Contractregister_uittreksel.xlsx;0,5;0;Intern;185.199.108.153;Moskou, RU;Gekopieerd
26;1-10-2026 10:20;jan@dowr.nl;Onderhoudskalender_servers.xlsx;22,3;48;Intern;185.199.108.153;Moskou, RU;Gekopieerd
27;1-10-2026 10:23;jan@dowr.nl;Testresultaten_release_4_2.docx;16,7;0;Intern;185.199.108.153;Moskou, RU;Gekopieerd
28;1-10-2026 10:26;jan@dowr.nl;Lijst_functionele_mailboxen.xlsx;18,5;126;Intern;185.199.108.153;Moskou, RU;Gekopieerd
29;1-10-2026 10:29;jan@dowr.nl;Routekaart_informatiebeheer.pdf;16;0;Intern;185.199.108.153;Moskou, RU;Gekopieerd
30;1-10-2026 10:32;jan@dowr.nl;Aanmeldingen_webinar_cyberveiligheid.xlsx;7,8;0;Intern;185.199.108.153;Moskou, RU;Gekopieerd
31;1-10-2026 10:35;jan@dowr.nl;Proceseigenaren_overzicht.xlsx;17,3;240;Openbaar;185.199.108.153;Moskou, RU;Gekopieerd
32;1-10-2026 10:38;jan@dowr.nl;Archiefinventaris_2025.csv;22,2;0;Intern;185.199.108.153;Moskou, RU;Gekopieerd
33;1-10-2026 10:41;jan@dowr.nl;Checklist_leveranciersgesprek.docx;22,6;0;Openbaar;185.199.108.153;Moskou, RU;Gekopieerd
34;1-10-2026 10:44;jan@dowr.nl;Overzicht_mobiele_toestellen.xlsx;9,1;12;Intern;185.199.108.153;Moskou, RU;Gekopieerd
35;1-10-2026 10:47;jan@dowr.nl;Kwartaalrapportage_facilitair.pdf;11;0;Intern;185.199.108.153;Moskou, RU;Gekopieerd
36;1-10-2026 10:50;jan@dowr.nl;Meldingen_openbare_ruimte_week40.csv;0,3;512;Intern;185.199.108.153;Moskou, RU;Gekopieerd
37;1-10-2026 10:53;jan@dowr.nl;Werkinstructie_identiteitscontrole.pdf;19,1;0;Intern;185.199.108.153;Moskou, RU;Gekopieerd
38;1-10-2026 10:56;jan@dowr.nl;Planning_restoretest_oktober.xlsx;15;240;Openbaar;185.199.108.153;Moskou, RU;Gekopieerd
39;1-10-2026 10:59;jan@dowr.nl;Bezoekersaantallen_stadhuis.xlsx;18,3;48;Intern;185.199.108.153;Moskou, RU;Gekopieerd
40;1-10-2026 11:02;jan@dowr.nl;Risicoregister_project_alpha.xlsx;7,7;512;Intern;185.199.108.153;Moskou, RU;Gekopieerd
41;1-10-2026 11:05;jan@dowr.nl;Contactlijst_projectpartners.xlsx;17,4;0;Intern;185.199.108.153;Moskou, RU;Gekopieerd
42;1-10-2026 11:08;jan@dowr.nl;Aanvragen_parkeervergunningen_batch.csv;14,2;512;Openbaar;185.199.108.153;Moskou, RU;Gekopieerd
43;1-10-2026 11:11;jan@dowr.nl;Dashboard_export_financien.xlsx;10,2;0;Intern;185.199.108.153;Moskou, RU;Gekopieerd
44;1-10-2026 11:14;jan@dowr.nl;Wijzigingskalender_productie.xlsx;7,6;75;Intern;185.199.108.153;Moskou, RU;Gekopieerd
45;1-10-2026 11:17;jan@dowr.nl;Overzicht_licenties_software.csv;12,6;12;Intern;185.199.108.153;Moskou, RU;Gekopieerd
46;1-10-2026 11:20;jan@dowr.nl;Evaluatie_bewustwordingscampagne.docx;23;0;Intern;185.199.108.153;Moskou, RU;Gekopieerd
47;1-10-2026 11:23;jan@dowr.nl;Capaciteitsplanning_team_B.xlsx;1,5;48;Openbaar;185.199.108.153;Moskou, RU;Gekopieerd
48;1-10-2026 11:26;jan@dowr.nl;Logboek_nachtverwerking.txt;0,9;126;Openbaar;185.199.108.153;Moskou, RU;Gekopieerd
49;1-10-2026 11:29;jan@dowr.nl;Rapportage_back-up_controle.pdf;7,5;0;Openbaar;185.199.108.153;Moskou, RU;Gekopieerd
50;1-10-2026 11:32;jan@dowr.nl;Samenvatting_incidentmeldingen_Q3.docx;12,1;0;Intern;185.199.108.153;Moskou, RU;Gekopieerd
